plano_nome,plano_id,aluno_status,aluno_id,data_entrada,duracao_treino
Bronze,3,ativo,306,2025-10-21 23:01:03,71
Prata,1,ativo,330,2025-07-11 21:41:26,74
Prata,3,ativo,336,2025-10-15 09:15:32,53
Ouro,3,ativo,71,2025-06-13 19:01:21,90
Prata,3,ativo,321,2025-12-04 01:20:41,116
Prata,3,inativo,82,2025-10-01 01:09:27,53
Prata,2,ativo,381,2025-09-25 02:29:04,93
Bronze,3,ativo,398,2025-09-14 04:57:41,86
Bronze,1,inativo,450,2025-12-30 06:34:59,118
Bronze,1,ativo,465,2025-11-01 03:39:54,3
Prata,2,ativo,196,2025-10-10 16:14:46,4
Bronze,3,ativo,237,2025-08-18 20:14:15,72
Bronze,3,inativo,89,2025-06-26 08:34:32,99
Bronze,3,inativo,224,2025-11-08 23:07:49,33
Ouro,1,inativo,222,2025-07-04 03:21:13,68
Prata,1,inativo,136,2025-04-21 17:51:34,70
Prata,1,ativo,440,2025-04-30 23:25:42,48
Bronze,3,ativo,176,2026-02-18 12:21:05,117
Bronze,3,inativo,4,2025-07-17 09:52:31,29
Bronze,3,ativo,32,2025-10-20 06:54:27,19
Bronze,2,ativo,158,2025-10-13 16:23:58,83
Ouro,1,inativo,396,2026-01-15 16:23:49,39
Bronze,1,inativo,84,2025-11-12 01:28:05,115
Prata,3,inativo,294,2026-03-12 03:38:44,48
Bronze,1,ativo,218,2025-06-14 06:59:13,127
Bronze,3,inativo,223,2025-11-02 06:20:43,110
Bronze,1,ativo,99,2025-08-01 22:44:18,39
Bronze,3,inativo,191,2026-01-21 18:52:00,25
Bronze,1,ativo,274,2026-02-10 09:09:06,6
Bronze,3,ativo,439,2025-08-22 14:51:34,92
Bronze,1,ativo,81,2025-05-17 13:43:23,51
Ouro,2,ativo,128,2025-12-19 03:01:34,101
Ouro,3,inativo,72,2026-01-03 16:10:24,124
Bronze,3,ativo,96,2025-06-16 16:18:19,89
Bronze,3,inativo,386,2026-02-04 21:37:54,48
Prata,3,inativo,338,2026-03-11 11:30:00,101
Ouro,3,inativo,454,2025-08-25 01:44:42,58
Prata,2,ativo,479,2025-04-30 04:12:26,105
Bronze,3,inativo,171,2025-07-15 19:45:48,106
Ouro,3,ativo,485,2026-03-04 00:37:21,71
Ouro,2,inativo,469,2025-06-20 16:03:31,84
Bronze,1,inativo,447,2026-03-29 03:42:26,29
Ouro,2,inativo,371,2026-03-25 14:43:45,80
Prata,2,ativo,413,2026-02-06 15:30:19,57
Prata,3,ativo,225,2026-03-16 18:30:18,9
Bronze,3,inativo,128,2026-03-17 21:37:19,85
Prata,2,inativo,36,2026-03-06 00:03:24,113
Ouro,2,ativo,324,2025-08-19 07:40:24,37
Prata,1,inativo,265,2025-11-09 09:42:33,11
Prata,1,inativo,293,2025-10-16 03:24:11,45
Bronze,1,inativo,8,2025-08-01 06:11:44,30
Bronze,1,inativo,419,2025-12-01 03:47:35,103
Prata,3,inativo,70,2026-03-24 07:19:26,114
Ouro,2,ativo,321,2026-03-11 15:09:53,125
Bronze,1,inativo,326,2026-02-06 05:02:45,2
Bronze,1,inativo,51,2025-07-18 00:14:49,40
Bronze,1,ativo,49,2025-08-16 20:03:58,52
Bronze,2,ativo,243,2025-06-25 04:23:34,124
Prata,2,inativo,351,2026-01-02 12:46:43,86
Bronze,3,ativo,38,2025-05-28 14:58:25,75
Ouro,2,ativo,305,2025-12-26 07:56:33,124
Ouro,1,ativo,159,2026-01-05 13:15:48,39
Bronze,2,ativo,192,2025-04-12 06:10:04,88
Ouro,3,inativo,365,2025-07-26 21:19:33,63
Bronze,1,ativo,478,2025-10-21 03:06:03,99
Prata,2,inativo,240,2025-06-13 09:45:34,89
Ouro,1,inativo,267,2026-01-29 06:30:42,46
Prata,1,ativo,256,2026-03-30 03:33:10,55
Ouro,2,ativo,142,2026-01-10 18:28:53,14
Bronze,3,ativo,401,2026-01-25 09:55:22,1
Prata,2,ativo,155,2025-06-19 20:50:17,67
Prata,1,ativo,428,2025-11-15 09:22:12,75
Bronze,3,inativo,19,2026-02-04 17:32:08,20
Prata,2,inativo,245,2025-07-22 21:13:31,35
Prata,2,inativo,359,2025-10-15 18:35:54,129
Prata,2,inativo,130,2025-12-09 19:03:51,55
Ouro,2,ativo,54,2026-01-23 03:53:32,102
Bronze,1,ativo,206,2026-03-26 19:43:00,15
Bronze,2,inativo,321,2025-12-22 22:23:48,22
Bronze,2,ativo,435,2025-08-15 00:26:03,72
Bronze,2,ativo,105,2026-03-22 05:22:06,109
Ouro,3,inativo,51,2025-11-12 19:51:28,4
Prata,3,inativo,84,2026-02-14 19:11:14,91
Prata,3,inativo,250,2026-01-27 20:52:43,11
Ouro,2,ativo,135,2025-11-23 17:53:25,88
Bronze,3,ativo,103,2025-06-01 15:18:03,33
Ouro,2,inativo,424,2025-09-19 19:41:52,130
Bronze,1,ativo,403,2026-03-10 23:50:07,44
Ouro,2,ativo,165,2025-08-04 15:12:26,3
Bronze,2,ativo,293,2025-05-01 14:18:30,75
Prata,3,inativo,275,2025-04-22 08:21:12,43
Bronze,3,ativo,450,2026-04-06 01:23:52,108
Bronze,2,ativo,235,2026-03-21 12:56:19,0
Bronze,2,inativo,474,2025-06-30 16:03:20,126
Prata,2,ativo,271,2025-04-10 17:01:27,116
Bronze,1,ativo,93,2026-02-26 23:10:40,115
Prata,2,ativo,434,2026-01-08 15:38:57,66
Bronze,2,inativo,346,2025-04-29 06:11:48,113
Bronze,2,inativo,166,2026-01-25 15:03:06,40
Bronze,1,ativo,404,2025-12-15 12:29:49,3
Ouro,3,inativo,350,2025-04-12 17:46:42,109
Prata,3,inativo,305,2025-10-11 23:38:26,9
Prata,3,inativo,143,2026-02-10 11:36:36,87
Prata,2,inativo,180,2026-01-26 23:56:18,78
Bronze,1,inativo,334,2025-07-30 12:18:41,101
Bronze,1,inativo,393,2025-12-12 21:48:52,118
Prata,3,inativo,91,2025-12-02 03:19:37,34
Bronze,1,inativo,233,2025-08-23 01:26:35,67
Prata,3,inativo,140,2025-11-02 08:42:43,124
Bronze,2,inativo,136,2026-01-21 00:32:07,95
Bronze,3,ativo,263,2025-11-23 13:51:58,113
Prata,3,inativo,143,2025-08-06 02:11:40,2
Ouro,2,inativo,124,2025-07-27 10:34:52,121
Prata,1,inativo,184,2025-08-09 16:52:19,121
Bronze,2,ativo,92,2026-04-06 01:57:22,81
Bronze,2,ativo,13,2025-07-21 15:57:35,77
Ouro,1,inativo,35,2025-07-14 01:15:57,95
Prata,2,inativo,10,2025-09-17 18:16:06,25
Ouro,3,inativo,111,2025-08-02 18:49:52,109
Bronze,1,ativo,469,2025-12-27 13:44:57,32
Bronze,2,inativo,209,2025-07-09 10:49:30,41
Bronze,2,ativo,410,2026-02-27 02:16:53,3
Bronze,3,ativo,199,2025-05-27 07:41:41,64
Bronze,1,inativo,257,2026-03-19 20:12:43,46
Bronze,2,inativo,471,2025-11-18 05:45:50,71
Ouro,2,inativo,10,2025-08-23 02:35:05,119
Ouro,2,ativo,197,2025-05-10 13:02:17,96
Prata,1,inativo,347,2025-12-03 03:54:55,60
Ouro,1,ativo,463,2026-04-03 02:56:18,63
Prata,3,ativo,119,2025-08-18 00:50:03,48
Bronze,2,inativo,5,2025-06-12 00:09:34,56
Prata,3,inativo,22,2025-06-05 17:08:47,96
Prata,3,ativo,416,2025-11-11 03:15:10,34
Prata,3,ativo,401,2025-10-07 08:38:34,90
Prata,3,ativo,208,2025-05-26 03:01:56,105
Bronze,1,inativo,409,2025-05-08 07:07:55,63
Prata,1,inativo,87,2026-02-22 18:15:45,38
Prata,2,ativo,351,2025-04-24 16:01:11,52
Bronze,2,ativo,346,2025-09-02 04:09:11,17
Bronze,3,inativo,411,2026-03-24 09:43:33,90
Bronze,1,ativo,460,2026-01-04 08:34:21,109
Prata,1,inativo,45,2026-01-14 20:22:10,10
Prata,2,inativo,222,2025-06-08 15:40:31,47
Bronze,1,inativo,429,2025-05-29 17:45:54,30
Prata,1,inativo,251,2025-09-15 02:58:29,72
Bronze,3,inativo,33,2025-04-01 23:50:11,106
Bronze,2,ativo,498,2025-09-15 12:06:22,10
Prata,3,inativo,221,2026-02-07 15:29:01,86
Bronze,3,inativo,372,2025-06-10 17:26:59,39
Ouro,3,ativo,344,2026-02-21 08:45:33,47
Bronze,2,ativo,186,2026-02-14 05:32:00,70
Ouro,1,inativo,68,2025-11-27 18:07:37,104
Bronze,2,ativo,392,2026-02-06 22:20:12,86
Ouro,2,ativo,183,2025-10-02 08:15:02,49
Bronze,3,inativo,290,2025-12-06 04:24:36,36
Bronze,3,inativo,432,2025-12-28 03:36:35,3
Bronze,2,ativo,337,2025-08-20 12:08:45,80
Prata,2,ativo,140,2025-07-10 19:05:21,78
Bronze,1,ativo,161,2025-10-26 21:27:00,3
Prata,2,ativo,454,2025-05-27 07:54:47,0
Bronze,1,ativo,304,2026-01-11 09:26:03,62
Bronze,2,ativo,172,2025-06-28 19:11:55,96
Bronze,3,inativo,148,2025-06-13 10:25:49,19
Prata,3,inativo,252,2026-03-14 16:09:59,67
Bronze,2,ativo,154,2025-12-24 09:57:28,100
Bronze,2,ativo,365,2025-08-22 16:50:32,118
Prata,1,ativo,116,2026-03-03 13:00:21,96
Prata,2,ativo,485,2025-05-01 19:42:48,71
Bronze,1,inativo,61,2025-06-23 21:30:33,90
Prata,3,inativo,399,2025-08-07 20:00:40,57
Prata,2,inativo,200,2025-11-01 06:07:51,89
Prata,3,inativo,230,2026-03-25 07:58:37,119
Prata,3,inativo,263,2025-08-18 19:44:12,119
Bronze,2,ativo,336,2025-04-15 00:59:54,89
Ouro,3,inativo,57,2025-09-14 20:45:19,122
Bronze,2,ativo,476,2025-08-23 21:29:51,42
Bronze,3,ativo,271,2025-07-30 19:52:04,78
Ouro,3,ativo,139,2025-08-05 21:18:47,71
Ouro,3,ativo,44,2025-12-09 13:11:23,37
Bronze,1,inativo,7,2026-02-03 15:11:27,62
Prata,3,inativo,155,2025-08-05 07:42:17,109
Bronze,2,ativo,293,2025-08-07 14:39:09,51
Bronze,1,ativo,335,2025-05-30 22:10:18,69
Bronze,1,ativo,319,2025-11-22 14:01:22,26
Prata,1,ativo,195,2025-11-10 02:22:11,129
Bronze,3,inativo,400,2026-03-13 09:08:48,117
Prata,1,inativo,426,2025-05-30 20:48:46,125
Ouro,3,inativo,415,2025-04-01 13:10:07,73
Prata,2,inativo,294,2025-05-05 01:20:35,91
Bronze,3,ativo,184,2025-09-04 12:23:01,77
Ouro,2,inativo,420,2025-09-14 15:19:09,65
Bronze,1,inativo,210,2026-03-29 15:40:26,11
Prata,2,ativo,108,2025-06-13 14:29:04,20
Prata,1,inativo,369,2025-10-07 05:44:36,53
Prata,1,inativo,90,2025-09-14 03:24:21,52
Prata,3,ativo,11,2025-07-24 02:42:37,92
Prata,1,ativo,166,2025-04-21 02:40:40,34
Ouro,3,inativo,469,2025-10-28 04:57:25,60
Bronze,1,inativo,163,2025-04-27 10:23:13,98
Bronze,3,ativo,400,2025-04-25 10:31:49,113
Bronze,2,ativo,281,2026-01-09 06:57:57,71
Bronze,1,ativo,153,2025-11-23 05:05:28,72
Prata,1,inativo,449,2025-11-22 09:46:47,105
Bronze,3,ativo,434,2025-06-16 02:48:54,59
Prata,2,ativo,29,2025-12-22 21:35:40,28
Ouro,1,ativo,29,2025-10-17 06:00:14,75
Prata,3,inativo,182,2026-03-09 01:37:07,99
Bronze,3,inativo,228,2025-11-09 16:55:40,19
Bronze,2,inativo,157,2026-04-01 12:51:05,92
Prata,1,inativo,11,2025-08-26 00:46:12,123
Ouro,1,ativo,264,2026-01-27 04:17:43,31
Prata,1,inativo,253,2025-04-21 17:50:36,46
Ouro,3,ativo,483,2025-09-24 00:32:05,110
Bronze,1,ativo,336,2025-10-05 05:54:45,97
Ouro,1,ativo,461,2026-01-24 10:00:09,123
Bronze,2,ativo,364,2026-02-08 23:36:17,1
Prata,2,inativo,25,2025-05-25 21:37:04,105
Bronze,2,inativo,275,2025-10-14 01:51:59,103
Ouro,3,inativo,401,2025-12-30 04:01:07,24
Bronze,3,inativo,264,2025-07-28 15:31:21,5
Bronze,2,inativo,339,2025-07-31 11:39:07,82
Bronze,2,ativo,474,2026-03-25 20:29:44,16
Ouro,3,inativo,306,2025-05-12 00:46:21,3
Bronze,2,ativo,110,2025-05-03 18:42:30,117
Bronze,3,inativo,390,2026-01-16 13:20:23,115
Ouro,3,inativo,335,2025-12-25 03:55:22,74
Bronze,1,ativo,457,2026-02-13 16:23:46,79
Bronze,2,inativo,42,2025-07-20 09:23:49,11
Prata,3,inativo,270,2025-11-01 20:15:48,92
Bronze,2,ativo,119,2025-09-05 13:14:59,100
Prata,2,inativo,411,2025-12-23 21:51:49,104
Bronze,3,ativo,438,2025-10-30 15:23:51,107
Prata,1,ativo,364,2025-04-16 10:38:03,104
