aluno_id,data_hora_entrada,data_hora_saida
1,2024-10-27 03:55:10,2024-10-27 04:55:10
1,2025-02-26 08:51:17,2025-02-26 10:51:17
1,2025-01-13 15:02:06,2025-01-13 17:02:06
1,2025-02-18 19:58:43,2025-02-18 21:58:43
1,2024-06-19 17:15:12,2024-06-19 20:15:12
1,2025-03-25 11:24:25,2025-03-25 14:24:25
1,2024-10-08 18:22:33,2024-10-08 19:22:33
1,2024-11-12 06:35:09,2024-11-12 07:35:09
1,2024-12-13 07:12:12,2024-12-13 10:12:12
1,2024-09-22 07:12:57,2024-09-22 09:12:57
1,2025-01-13 03:54:36,2025-01-13 05:54:36
1,2024-10-23 17:17:55,2024-10-23 19:17:55
1,2024-06-04 21:58:33,2024-06-04 23:58:33
1,2024-06-18 11:30:12,2024-06-18 12:30:12
1,2024-12-09 02:51:16,2024-12-09 04:51:16
1,2024-06-19 19:53:37,2024-06-19 21:53:37
1,2024-10-15 15:53:34,2024-10-15 18:53:34
1,2024-09-02 14:43:01,2024-09-02 17:43:01
1,2025-02-05 08:10:01,2025-02-05 09:10:01
1,2024-09-29 13:05:58,2024-09-29 15:05:58
1,2024-08-04 22:26:57,2024-08-04 23:26:57
1,2024-07-17 16:50:32,2024-07-17 18:50:32
1,2025-02-12 23:47:30,2025-02-13 02:47:30
1,2024-09-29 05:07:37,2024-09-29 07:07:37
1,2024-12-12 17:01:24,2024-12-12 20:01:24
1,2024-08-13 17:12:57,2024-08-13 18:12:57
1,2025-01-16 18:46:40,2025-01-16 20:46:40
1,2024-08-30 03:57:54,2024-08-30 04:57:54
1,2024-12-18 10:11:24,2024-12-18 11:11:24
1,2024-11-05 22:42:46,2024-11-05 23:42:46
1,2025-02-07 22:26:54,2025-02-08 01:26:54
1,2024-09-22 22:50:22,2024-09-23 00:50:22
1,2024-09-18 13:10:11,2024-09-18 14:10:11
1,2024-08-18 23:56:45,2024-08-19 02:56:45
1,2024-10-02 06:02:04,2024-10-02 07:02:04
1,2024-10-23 02:25:53,2024-10-23 03:25:53
2,2024-07-14 16:45:50,2024-07-14 17:45:50
2,2024-05-25 21:12:01,2024-05-26 00:12:01
2,2025-01-30 08:47:02,2025-01-30 09:47:02
2,2024-05-18 07:19:35,2024-05-18 09:19:35
2,2025-01-24 02:53:05,2025-01-24 03:53:05
2,2024-11-03 03:42:00,2024-11-03 05:42:00
2,2024-09-10 04:11:22,2024-09-10 07:11:22
2,2025-03-14 18:49:59,2025-03-14 19:49:59
2,2024-06-11 21:04:23,2024-06-11 23:04:23
2,2024-09-11 07:28:24,2024-09-11 09:28:24
2,2024-06-18 01:43:15,2024-06-18 03:43:15
3,2024-12-23 01:52:57,2024-12-23 03:52:57
3,2025-03-06 14:01:17,2025-03-06 15:01:17
3,2025-02-10 18:29:34,2025-02-10 21:29:34
3,2025-03-18 15:27:55,2025-03-18 18:27:55
3,2024-11-28 01:50:54,2024-11-28 02:50:54
3,2024-12-04 03:25:14,2024-12-04 04:25:14
3,2025-02-08 22:46:27,2025-02-09 01:46:27
4,2024-03-07 03:37:40,2024-03-07 05:37:40
4,2024-11-24 11:04:08,2024-11-24 14:04:08
4,2025-03-28 08:45:58,2025-03-28 10:45:58
4,2024-06-19 20:36:18,2024-06-19 23:36:18
4,2025-03-20 19:39:20,2025-03-20 22:39:20
4,2024-12-27 15:18:28,2024-12-27 16:18:28
